Collateral ID,Loan ID,Type,Category,Aditional Information, Appraisal Price,Currency,Borrower,Disburse Date,Term,,,,,,,,,,,,,,,,
1,G-V-SM-2023001,2W Electric Vehicle,SMOOT TEMPUR,," 666,666,667 ",IDR,GRAB,2023.12.21,36,,,,,,,,,,,,,,,,
2,E-V-E-2023002,2W Electric Vehicle,ELECTRUM H5,," 15,540,540,541 ",IDR,ELECTRUM,2023.12.29,36,,,,,,,,,,,,,,,,
3,G-V-SM-2024001,2W Electric Vehicle,SMOOT TEMPUR,," 3,657,657,658 ",IDR,GRAB,2024.1.10,36,,,,,,,,,,,,,,,,
4,G-V-SM-2024002,2W Electric Vehicle,SMOOT TEMPUR,," 4,324,324,324 ",IDR,GRAB,2024.1.30,36,,,,,,,,,,,,,,,,
5,G-V-SM-2024003,2W Electric Vehicle,SMOOT TEMPUR,," 1,801,801,802 ",IDR,GRAB,2024.3.22,36,,,,,,,,,,,,,,,,
6,E-V-E-2024004,2W Electric Vehicle,ELECTRUM H5,," 15,540,540,541 ",IDR,ELECTRUM,2024.4.5,36,,,,,,,,,,,,,,,,
7,G-V-SM-2024005,2W Electric Vehicle,SMOOT TEMPUR,," 1,945,945,946 ",IDR,GRAB,2024.4.26,36,,,,,,,,,,,,,,,,
8,G-V-SM-2024006,2W Electric Vehicle,SMOOT TEMPUR,," 4,900,900,901 ",IDR,GRAB,2024.5.30,36,,,,,,,,,,,,,,,,
9,G-V-SM-2024007,2W Electric Vehicle,SMOOT TEMPUR,," 720,720,721 ",IDR,GRAB,2024.5.31,36,,,,,,,,,,,,,,,,
10,G-V-SM-2024008,2W Electric Vehicle,SMOOT TEMPUR,," 1,243,243,243 ",IDR,GRAB,2024.6.10,36,,,,,,,,,,,,,,,,
11,G-V-SM-2024009,2W Electric Vehicle,SMOOT TEMPUR,," 4,180,180,180 ",IDR,GRAB,2024.7.30,36,,,,,,,,,,,,,,,,
12,G-V-SM-2024010,2W Electric Vehicle,SMOOT TEMPUR,," 180,180,180 ",IDR,GRAB,2024.8.12,36,,,,,,,,,,,,,,,,
13,E-V-E-2024011,2W Electric Vehicle,ELECTRUM H3,," 12,162,162,162 ",IDR,ELECTRUM,2024.8.19,36,,,,,,,,,,,,,,,,
14,G-V-SM-2024012,2W Electric Vehicle,SMOOT TEMPUR,," 2,486,486,486 ",IDR,GRAB,2024.8.21,36,,,,,,,,,,,,,,,,
15,G-V-VI-2024013,2W Electric Vehicle,VIAR N2,," 1,702,702,703 ",IDR,GRAB,2024.8.28,48,,,,,,,,,,,,,,,,
16,G-V-KY-2024014,2W Electric Vehicle,KYMCO AGILITY,," 3,391,295,045 ",IDR,GRAB,2024.9.6,48,,,,,,,,,,,,,,,,
17,G-V-SM-2024015,2W Electric Vehicle,SMOOT TEMPUR,," 630,630,631 ",IDR,GRAB,2024.9.17,36,,,,,,,,,,,,,,,,
18,G-V-SM-2024016,2W Electric Vehicle,SMOOT TEMPUR,," 180,180,180 ",IDR,GRAB,2024.9.18,36,,,,,,,,,,,,,,,,
19,G-V-SM-2024017,2W Electric Vehicle,SMOOT TEMPUR,," 1,135,135,135 ",IDR,GRAB,2024.9.25,36,,,,,,,,,,,,,,,,
20,G-V-SM-2024018,2W Electric Vehicle,SMOOT TEMPUR,," 576,576,577 ",IDR,GRAB,2024.10.7,36,,,,,,,,,,,,,,,,
21,G-V-SM-2024019,2W Electric Vehicle,SMOOT TEMPUR,," 900,900,901 ",IDR,GRAB,2024.10.21,36,,,,,,,,,,,,,,,,
22,G-V-E-2024020,2W Electric Vehicle,ELECTRUM H3,," 5,716,216,216 ",IDR,GRAB,2024.11.25,48,,,,,,,,,,,,,,,,
23,G-V-KY-2024021,2W Electric Vehicle,KYMCO AGILITY,," 3,875,765,766 ",IDR,GRAB,2024.11.29,48,,,,,,,,,,,,,,,,
24,G-V-VI-2024022,2W Electric Vehicle,VIAR N2,," 3,648,648,649 ",IDR,GRAB,2024.12.2,48,,,,,,,,,,,,,,,,
25,G-V-VI-2024023,2W Electric Vehicle,VIAR N2,," 3,648,648,649 ",IDR,GRAB,2024.12.9,48,,,,,,,,,,,,,,,,
26,E-V-E-2024024,2W Electric Vehicle,ELECTRUM H3,," 12,162,162,162 ",IDR,ELECTRUM,2024.12.17,36,,,,,,,,,,,,,,,,